"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2019",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
Tennessee ,20.9,18.0,24.0,"2,073",17.3,13.7,21.7,"1,114",24.3,20.9,28.1,959
Texas ,16.9,14.7,19.2,"1,829",13.0,10.6,15.8,966,20.6,17.2,24.4,863
Utah ,9.8,8.1,11.9,"1,455",6.3,4.3,9.1,736,13.2,10.7,16.3,719
Vermont ,13.1,12.6,13.6,"17,020",10.7,10.1,11.4,"8,451",15.2,14.5,16.0,"8,569"
Virginia ,14.8,12.6,17.3,"4,173",12.3,9.4,15.9,"2,084",17.2,14.9,19.7,"2,089"
West Virginia ,22.9,19.8,26.4,"1,312",20.2,16.1,25.0,673,25.5,22.2,29.1,639
Wisconsin ,14.5,12.7,16.5,"1,691",11.3,9.8,13.2,865,17.5,15.1,20.3,826
Wyoming ,,,,,,,,,,,,
Local School Districts,,,,,,,,,,,,
"Albuquerque, NM ",13.7,12.1,15.4,"3,007",10.1,8.5,12.0,"1,503",17.1,14.9,19.6,"1,504"
"Baltimore, MD ",,,,,,,,,,,,
"Borough of Bronx, NY ",16.2,14.8,17.8,"1,986",13.3,11.5,15.4,978,18.8,16.8,20.9,"1,008"
"Borough of Brooklyn, NY ",13.8,10.8,17.4,"1,901",12.7,8.9,17.9,992,14.8,12.2,17.8,909
"Borough of Manhattan, NY ",10.3,7.6,13.9,"1,563",9.6,7.2,12.6,957,11.2,7.1,17.1,606
"Borough of Queens, NY ",14.8,12.9,16.8,"1,266",12.8,11.2,14.6,552,16.6,13.9,19.7,714
"Borough of Staten Island, NY ",14.3,12.1,17.0,"1,201",10.1,7.2,14.0,605,18.3,14.8,22.5,596
"Boston, MA ",15.4,12.8,18.3,905,16.2,12.4,20.8,470,14.6,11.6,18.2,435
"Broward County, FL ",10.8,8.9,13.1,"1,066",9.6,7.0,13.1,627,12.0,8.8,16.2,439
"Charlotte-Mecklenburg County, NC ",,,,,,,,,,,,
"Chicago, IL ",17.6,14.8,20.8,"1,373",13.3,10.2,17.1,684,22.2,17.9,27.1,689
"Cleveland, OH ",22.1,17.7,27.3,"1,079",19.4,14.5,25.4,565,24.8,19.3,31.2,514
"Dallas, TX ",,,,,,,,,,,,
"DeKalb County, GA ",,,,,,,,,,,,
"Denver, CO ",,,,,,,,,,,,
"Detroit, MI ",,,,,,,,,,,,
District of Columbia ,17.1,16.2,17.9,"8,978",17.1,16.0,18.3,"4,663",17.0,15.8,18.2,"4,315"
"Duval County, FL ",15.4,14.2,16.7,"3,641",14.3,12.6,16.1,"1,984",16.5,14.8,18.4,"1,657"
"Eaton Consortium, MI ",17.3,14.7,20.3,982,15.7,12.1,20.1,479,18.8,15.1,23.1,503
"Fort Worth, TX ",21.3,19.4,23.3,"1,819",18.5,15.9,21.5,954,24.0,21.3,26.9,865
"Gaston County, NC ",17.1,15.0,19.4,"1,190",13.4,10.7,16.6,585,20.4,17.4,23.8,605
"Genesee Consortium, MI ",25.0,22.2,28.0,"1,003",24.8,20.3,30.0,485,25.2,21.9,28.7,518
"Hillsborough County, FL ",14.7,12.4,17.5,"1,410",11.9,8.9,15.8,677,17.5,14.4,21.1,733
"Houston, TX ",19.5,17.7,21.4,"1,833",16.4,14.4,18.7,961,22.4,19.6,25.5,872
"Los Angeles, CA ",20.8,16.8,25.6,"1,176",15.5,12.5,19.1,576,25.9,20.5,32.0,600
"Memphis, TN ",,,,,,,,,,,,
"Miami-Dade County, FL ",,,,,,,,,,,,
"Milwaukee, WI ",,,,,,,,,,,,
"New Orleans, LA ",,,,,,,,,,,,
"New York City, NY ",13.8,12.7,15.1,"7,917",12.0,10.7,13.4,"4,084",15.7,14.3,17.1,"3,833"
"Newark, NJ ",16.6,14.4,19.2,"1,032",18.9,15.7,22.6,526,14.6,11.6,18.2,506
"Oakland, CA ",14.5,12.1,17.3,861,11.6,8.3,15.9,445,17.2,12.9,22.5,416
"Orange County, FL ",13.3,11.4,15.4,"1,272",13.5,11.1,16.5,664,13.1,10.3,16.4,608
"Palm Beach County, FL ",11.3,10.0,12.9,"2,411",7.9,6.4,9.6,"1,245",14.8,12.7,17.0,"1,166"
"Pasco County, FL ",14.7,12.6,17.0,"1,357",13.0,10.4,16.1,730,16.4,13.4,19.8,627
"Philadelphia, PA ",17.4,15.0,20.2,"1,002",15.6,12.0,20.0,524,19.1,15.6,23.2,478
"Portland, OR ",8.7,7.2,10.3,"1,630",7.4,5.6,9.7,804,9.8,7.9,12.2,826
"San Bernardino, CA ",,,,,,,,,,,,
"San Diego, CA ",10.4,8.7,12.6,"1,294",8.5,6.3,11.3,631,12.3,9.9,15.0,663
"San Francisco, CA ",10.2,8.1,12.9,"1,869",6.0,4.1,8.8,959,14.1,10.6,18.5,910
"Seattle, WA ",7.7,6.1,9.6,"1,155",4.2,2.8,6.4,567,10.8,8.4,13.8,588
"Shelby County, TN ",19.2,16.8,21.8,"1,269",19.5,16.5,22.9,745,18.8,15.5,22.6,524
"Spartanburg County, SC ",18.1,15.4,21.1,925,16.0,12.7,20.1,471,19.9,16.4,23.8,454
Territories and Freely Associated States,,,,,,,,,,,,
American Samoa ,,,,,,,,,,,,
Guam ,23.8,20.9,26.9,"1,233",21.3,16.0,27.8,537,25.8,22.0,30.0,696
Marshall Islands ,,,,,,,,,,,,
Northern Mariana Islands ,21.6,20.1,23.2,"2,134",19.1,17.1,21.4,"1,042",23.9,21.7,26.3,"1,092"
Palau ,,,,,,,,,,,,
Puerto Rico ,14.4,11.5,17.7,"1,366",11.8,8.1,16.8,730,17.1,13.4,21.6,636
Tribes,,,,,,,,,,,,
Nez Perce ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"† Percentage, confidence interval, cell size",,,,,,,,,,,,
